date,     hour,   close_price,max_price,  min_price,  Total volume in BTC
20160601, 010000, 0.01515000, 0.01575842, 0.01500000, 267.401853
20160602, 010000, 0.01512085, 0.01567489, 0.01490792, 192.198296
20160603, 010000, 0.01504414, 0.01534855, 0.01420550, 365.801737
20160604, 010000, 0.01365362, 0.01520844, 0.01360281, 480.652524
20160605, 010000, 0.01346000, 0.01446096, 0.01340000, 372.494347
20160606, 010000, 0.01349982, 0.01388021, 0.01304213, 434.672624
20160607, 010000, 0.01349690, 0.01372678, 0.01295016, 252.815288
20160608, 010000, 0.01341695, 0.01395322, 0.01321058, 191.537682
20160609, 010000, 0.01343358, 0.01397846, 0.01327828, 199.544126
20160610, 010000, 0.01399828, 0.01412603, 0.01334020, 233.966926
20160611, 010000, , , , 
20160612, 010000, 0.01260563, 0.01361125, 0.01218516, 743.758257
20160613, 010000, 0.01125000, 0.01258623, 0.01089596, 711.917115
20160614, 010000, 0.01142998, 0.01175745, 0.01071000, 487.685237
20160615, 010000, 0.01222927, 0.01259999, 0.01136650, 489.646718
20160616, 010000, 0.01146700, 0.01268900, 0.01143989, 388.105311
20160617, 010000, 0.01134741, 0.01166892, 0.01100750, 293.878009
20160618, 010000, 0.01135000, 0.01149740, 0.01067758, 296.277908
20160619, 010000, 0.01083678, 0.01158600, 0.01050000, 394.444919
20160620, 010000, 0.01052711, 0.01097187, 0.01036112, 195.484558
20160621, 010000, 0.01153942, 0.01233028, 0.01041000, 487.076610
20160622, 010000, 0.01170818, 0.01215550, 0.01130000, 381.922596
20160623, 010000, 0.01247264, 0.01283311, 0.01161000, 506.109135
20160624, 010000, 0.01107066, 0.01255755, 0.01029000, 476.445661
20160625, 010000, 0.01013033, 0.01140000, 0.00945003, 483.716668
20160626, 010000, 0.01078370, 0.01099376, 0.00980105, 236.807301
20160627, 010000, 0.01063763, 0.01106615, 0.01057352, 194.731291
20160628, 010000, 0.01070584, 0.01093856, 0.01038000, 183.508365
20160629, 010000, 0.01102577, 0.01106615, 0.01052603, 167.841195
20160630, 010000, 0.01116615, 0.01127764, 0.01080000, 178.587687
20160701, 010000, 0.01081997, 0.01128118, 0.01045001, 200.147834
20160702, 010000, 0.01060903, 0.01097232, 0.01052000, 101.089673
20160703, 010000, 0.01055020, 0.01074706, 0.01000000, 228.413076
20160704, 010000, 0.01056714, 0.01086028, 0.01050000, 157.057218
20160705, 010000, 0.01023320, 0.01070188, 0.01001009, 95.6634617
20160706, 010000, 0.01035000, 0.01055000, 0.01015959, 137.861776
20160707, 010000, 0.01085803, 0.01114730, 0.01025000, 188.897229
20160708, 010000, 0.01102079, 0.01164254, 0.01028427, 372.870033
20160709, 010000, 0.01096958, 0.01150000, 0.01065000, 217.656572
20160710, 010000, 0.01146675, 0.01157866, 0.01077480, 172.164248
20160711, 010000, 0.01194003, 0.01285000, 0.01132888, 328.421810
20160712, 010000, 0.01217255, 0.01257000, 0.01181483, 511.518862
20160713, 010000, 0.01170491, 0.01256998, 0.01160000, 327.625252
20160714, 010000, 0.01188093, 0.01209999, 0.01160552, 146.191749
20160715, 010000, 0.01183651, 0.01188093, 0.01154619, 92.0194111
20160716, 010000, 0.01245993, 0.01281042, 0.01170597, 309.817906
20160717, 010000, 0.01243139, 0.01255000, 0.01219529, 142.491088
20160718, 010000, 0.01201725, 0.01250075, 0.01183002, 138.612748
20160719, 010000, 0.01260557, 0.01261004, 0.01189400, 182.383899
20160720, 010000, 0.01239994, 0.01282935, 0.01238001, 241.988619
20160721, 010000, 0.01261001, 0.01279866, 0.01235400, 122.048188
20160722, 010000, 0.01399999, 0.01417523, 0.01247554, 556.580739
20160723, 010000, 0.01390101, 0.01469999, 0.01381675, 671.187383
20160724, 010000, 0.01413678, 0.01450094, 0.01387163, 215.917726
20160725, 010000, 0.01379026, 0.01439693, 0.01358837, 276.273855
20160726, 010000, 0.01402536, 0.01423421, 0.01367712, 181.752037
20160727, 010000, 0.01362398, 0.01400000, 0.01298872, 559.100852
20160728, 010000, 0.01404046, 0.01430000, 0.01352238, 266.735236
20160729, 010000, 0.01430000, 0.01430000, 0.01393589, 131.670206
20160730, 010000, 0.01415000, 0.01450000, 0.01405517, 171.324605
20160731, 010000, 0.01447855, 0.01450000, 0.01400000, 164.146683
20160801, 010000, 0.01546935, 0.01688787, 0.01432500, 990.427369
